UNITID,school_name.x,coach_comp_third,support_comp_third,coach_comp,guarantees,total_ops,aid,support_comp,severance,recruiting,team_travel,equip,game_expenses,marketing,camps,spirits,facilities,overhead,indirect_institutional,medical,membership,meals,otherops,bowl_expenses,prof_def,bowl_coachcomp,total_expenditure,discounts_to_tuition,gifts,research_expenditure,graduation_rate
122409,San Diego State University,0,0,11472896.2,1026831.2,57046732.2,9057615.4,11546596.2,55665.2,550668,3546293.2,1374531.2,1834237.8,5885844.4,86412,314317.8,2653542.4,1493494.8,2061604.2,619242.8,489304.8,412515.8,1471364,826186.8,754152,267568,109182410,131817767,17153908.75,6501150,21720.75
122755,San Jose State University,0,0,9255629.6,675519.2,34743999.4,7988488.6,6643310.4,93523,423644.8,2828108.6,1096795.4,1342291,452806.8,16203.8,43642,467143.2,10970.4,1079860.6,616788,183215,284360,1190266.4,51432.6,885953.6666666666,0,68009402.75,109816712.25,6674191.25,1162098.75,25602
126614,University of Colorado Boulder,0,0,15907165.8,1016593.6,87988490.4,11906125.6,15495668,2235936.6,986492.2,3394053.6,1589610.6,3229510.2,1130662,319854.4,283737.4,9507477.2,9144550.4,2261384.2,1491181,73777.8,1747604.6,6105704.4,138500.8,2082765.5,22900,173028260.75,137849869.5,87645161.25,449095253.75,24921
126818,Colorado State University-Fort Collins,24588.4,0,9753533.2,754604,54297156.4,9390422.4,7233994.4,929415.4,779832.2,2661744,2555356.2,2036639,813482.8,273505.2,59648.4,9310845,1418643.6,1857519.4,630395,585338.6,786087,2297367.2,105511.6,1443705,38683.4,106926589.25,121206231,57143298.25,261322138,39884.5
129020,University of Connecticut,0,0,18921241.6,1189806.8,79610187.8,15572845.8,13725712.4,2981660.4,1471721,6582899.4,2548590.2,2922597.6,1056745.8,0,36656.8,3598049.6,1750706.2,0,967181.6,150699.4,989070.2,5144003,0,262816.3333333333,0,150276462.25,253889316.75,29166883.25,176753781,43885.25
132903,University of Central Florida,0,0,13082428,1167398.4,64642039.8,9702876,11193513.2,256091.2,703418.8,3603312.6,2066890.8,2103869.4,1689715,0,209596.4,5547645.6,4965819.8,0,714782.2,195762,1051528.6,4100513.8,1865083,6845339.4,421795,130579900.25,207136098.5,25200312.25,182932012.5,49964
133669,Florida Atlantic University,9375,2275,7324042,544138.2,35798905.6,4326832,4479628.4,40760.8,522553.8,2888762.2,1423859.2,1936695.6,646240.6,0,69276,2497748.2,2042613.6,4197770.4,982074.4,408801,563141.6,742976,153377.2,1100803.2,8000,71539706.75,81624341,0,68736684,26422.5
133951,Florida International University,0,0,6815421.6,720553.4,35051753.2,6843270.6,4979280.6,23380,349744.8,2362312,912044.8,1284686.4,592497.8,0,192590,2766175.6,2595320,1150584.4,429519.6,467101.8,134963.4,2233989.8,170553,2865825.6,27763.6,71092287.75,181256945.25,24820649,165917078,20983.5
134097,Florida State University,0,0,24872896.2,2398660.4,147376094,11097163.8,21066100.6,4332061.6,1777314.2,8092065.2,4467516,4285022.2,2746432.4,0,330331.2,10602493.6,18758704.6,0,1908166.4,1642500.2,1602753.6,26912681.2,380843.8,7649250.75,102386.8,298109581.25,168635885.25,68874343.5,202386089.75,13025.75
134130,University of Florida,789000,0,27267645.4,2599763.2,145714493.8,13586817.6,34853975,6231445.8,2087540.4,8801297.6,3777426,6141410.8,2503068.4,771133.6,689158.6,9766777.2,16146087.2,0,2197947.2,125485,2210747.4,3429058.4,1146772.2,19308085.8,591936.8,297225789.5,227183500,168008750,767753000,34711.25
137351,University of South Florida,20000,4000,11098393.2,1125028,55097192.4,7185113.2,9456273.8,1246384.4,788271.4,4494425,3413524.4,2202810.8,857892.4,2618.4,216077.8,4789935.6,3468108.6,0,927622.8,32332.8,909977,2591100.2,236498.2,1727715,30804.4,108326397.5,138391720,24114721.25,343162334.5,32196
139755,Georgia Institute of Technology-Main Campus,0,0,16727232.6,2243875.2,94341587.4,12029106.8,14749425.6,1423162.4,1405620.6,4786006.4,3450065.8,4057012.8,3157920.2,0,613567,12752934.4,11929474.4,2162706.2,1382719.6,299011.4,601209,232060.4,248517.2,1748348.6666666667,89959.4,184326561.25,51394227.75,2007895.5,986980129.25,38288.25
139931,Georgia Southern University,5787.4,110318,5772043,375631.2,29888085,6698676,5583424.2,119708.2,315566.8,1976919,688924,761758.2,828171.6,0,30665.4,1820299.4,817919.8,1238327.6,791465.2,101717.2,202164.2,1397245.2,208534.6,171567.33333333334,42818.8,59498757,45272450.75,8371872.25,20834587,22573.5
139940,Georgia State University,0,0,6510097.8,333639.4,35413239,7879111.2,5163655,0,302087,1800625.4,1055077.6,909227,390507.8,0,68272.8,3729088.6,1011146.6,292021.4,304118.8,112657.8,344853.4,4940669,166862.4,6334759.5,99520,70305259,75258335.5,3140629.25,192158929.25,50540
139959,University of Georgia,0,0,29532950.4,2995850,141549685.2,11639142.8,26149522.4,1502640,4045574,6284662.2,1992470.4,7226769.8,2613416.2,346173,696616.8,9736094.4,15018023.8,0,2527562.2,136615.2,3332311.8,11021874,3022497.2,38880615,1728918.6,309456214.5,152004892.5,68053285.75,461594894,14896.5
142115,Boise State University,0,0,9614471.4,748427.8,47849819.2,8938279.6,8411179,0,641491.6,3009635.4,838840.8,1258686,426140,218052.4,209584.2,4351317.2,2789947.6,2822465.6,900900,668704.2,662815,840963.6,425743.2,509255.75,72174.6,94909280.25,27436150,30803253.25,39836503,33797.25
