my_id,school_name,1819_coach_comp_third,1819_support_comp_third,1819_coach_comp,1819_guarantees,1819_total_ops,1819_aid,1819_support_comp,1718_severance,1718_recruiting,1718_teamtravel,1718_equip,1718_game_expenses,1718_marketing,1718_camps,1718_spirit,1718_facilities_rentals,1718_overhead,1718_indirect_institutional,1718_medical,1718_memberships,1718_meals,1718_otherops,1718_bowl_expense,1718_prof_def,1718_bowl_coachcomp
53,Michigan,$0 ,$0 ,"$32,693,458 ","$3,796,310 ","$183,414,032 ","$26,672,328 ","$36,210,770 ","$138,753 ","$3,011,982 ","$13,328,942 ","$6,110,417 ","$4,048,431 ","$4,186,617 ","$9,420 ","$1,150,194 ","$17,263,261 ","$19,361,935 ","$254,870 ","$954,102 ","$228,806 ","$4,780,476 ","$6,763,445 ","$2,037,265 ","$12,355,072 ","$412,250 "
54,Michigan State,"$535,000 ",$0 ,"$21,960,571 ","$3,045,301 ","$137,416,056 ","$15,888,613 ","$18,469,447 ","$45,000 ","$1,689,263 ","$6,709,931 ","$3,939,837 ","$5,855,897 ","$2,950,725 ","$1,356,500 ","$272,151 ","$30,873,356 ","$9,771,862 ","$809,489 ","$1,622,542 ","$139,352 ","$1,339,294 ","$6,931,961 ","$2,806,700 ","$8,224,233 ","$403,264 "
55,Middle Tennessee,$0 ,$0 ,"$6,294,509 ","$299,334 ","$35,353,956 ","$9,397,637 ","$4,423,557 ","$39,036 ","$509,279 ","$2,834,418 ","$1,075,282 ","$744,369 ","$995,560 ",$0 ,$0 ,"$1,257,169 ","$817,464 ","$2,062,351 ","$482,703 ","$45,591 ","$229,749 ","$3,526,466 ","$245,794 ",$0 ,"$73,688 "
56,Minnesota,$0 ,$0 ,"$22,008,504 ","$2,115,222 ","$115,090,006 ","$12,778,000 ","$19,243,897 ","$368,412 ","$2,215,207 ","$7,772,463 ","$4,114,210 ","$4,274,279 ","$1,913,964 ",$0 ,"$1,031,217 ","$6,761,004 ","$16,199,290 ","$4,813,848 ","$1,388,942 ","$170,893 ","$3,635,726 ","$4,284,128 ",$800 ,"$9,757,636 ",$0 
57,Mississippi State,"$2,000 ",$0 ,"$17,619,113 ","$1,940,898 ","$89,794,392 ","$9,766,661 ","$11,867,009 ","$339,209 ","$1,353,555 ","$6,624,565 ","$4,378,660 ","$4,434,987 ","$2,054,414 ","$367,494 ","$143,555 ","$10,129,252 ","$9,090,532 ",$0 ,"$899,810 ","$110,058 ","$614,898 ","$6,275,417 ","$1,578,540 ","$14,064,473 ","$203,765 "
58,Missouri,$0 ,$0 ,"$19,689,886 ","$2,751,626 ","$109,158,522 ","$11,537,169 ","$22,145,769 ",$0 ,"$1,657,753 ","$7,455,414 ","$2,571,208 ","$3,517,384 ","$1,001,755 ","$526,708 ","$671,715 ","$6,671,482 ","$17,418,105 ",$0 ,"$1,336,298 ","$139,946 ","$555,744 ","$7,785,966 ","$1,419,320 ","($1,806,941)","$305,274 "
59,NC State,"$120,750 ",$0 ,"$18,426,315 ","$1,927,096 ","$86,756,449 ","$13,151,527 ","$16,370,265 ","$1,175,470 ","$1,781,451 ","$6,527,772 ","$2,982,873 ","$3,690,131 ","$1,046,831 ","$44,029 ","$554,951 ","$2,488,874 ","$7,062,544 ",$0 ,"$1,433,501 ","$2,856,023 ","$935,763 ","$2,473,774 ","$1,228,476 ","$1,220,083 ","$478,033 "
60,Nebraska,$0 ,$0 ,"$19,911,657 ","$3,316,707 ","$135,627,283 ","$12,004,142 ","$26,043,188 ","$12,926,350 ","$2,545,583 ","$7,073,497 ","$4,719,807 ","$5,375,470 ","$1,704,279 ",$0 ,"$136,200 ","$669,532 ","$28,914,493 ",$0 ,"$1,181,228 ","$189,942 ","$1,945,213 ","$6,969,995 ",$0 ,"$6,595,943 ",$0 
61,Nevada,$0 ,$0 ,"$6,239,593 ","$1,274,052 ","$41,381,121 ","$9,029,804 ","$5,642,380 ","$287,500 ","$943,618 ","$3,152,747 ","$1,268,308 ","$1,155,397 ","$1,440,092 ",$0 ,"$131,298 ","$2,119,446 ","$2,569,991 ","$2,743,739 ","$519,771 ","$488,791 ","$383,336 ","$1,991,258 ",$0 ,"($7,092,855)",$0 
62,New Mexico,$0 ,$0 ,"$7,745,084 ","$730,900 ","$41,936,043 ","$8,150,932 ","$6,398,373 ","$515,861 ","$803,502 ","$3,144,759 ","$532,965 ","$1,798,015 ","$378,288 ",$0 ,"$236,329 ","$1,115,342 ","$1,651,607 ","$869,777 ","$570,462 ","$561,752 ","$474,402 ","$6,216,220 ","$41,473 ",$0 ,$0 
