"unitid","school_name","address","state","A01"
213543,"Lehigh University","27 Memorial Drive West, Bethlehem, Pennsylvania","Pennsylvania",1955620000
213598,"Lincoln University","1570 Baltimore Pike, Lincoln University, Pennsylvania","Pennsylvania",44003726
213622,"UPMC St. Margaret School of Nursing","221 Seventh Street, Suite 100, Pittsburgh, Pennsylvania","Pennsylvania",NA
213631,"United Lutheran Seminary","61 Seminary Ridge, Gettysburg, Pennsylvania","Pennsylvania",77108014
213668,"Lycoming College","One College Place, Williamsport, Pennsylvania","Pennsylvania",211561306
213774,"Manor College","700 Fox Chase Rd, Jenkintown, Pennsylvania","Pennsylvania",1806541
213826,"Marywood University","2300 Adams Ave, Scranton, Pennsylvania","Pennsylvania",43578582
213987,"Mercyhurst University","501 E 38th St, Erie, Pennsylvania","Pennsylvania",29239845
213996,"Messiah University","One University Avenue, Mechanicsburg, Pennsylvania","Pennsylvania",155073871
214023,"ASPIRA City College","4322 N. 5th Street, Philadelphia, Pennsylvania","Pennsylvania",22211
214069,"Misericordia University","301 Lake St, Dallas, Pennsylvania","Pennsylvania",55011899
214148,"Moore College of Art and Design","20th and the Parkway, Philadelphia, Pennsylvania","Pennsylvania",29696782
214157,"Moravian University","1200 Main St, Bethlehem, Pennsylvania","Pennsylvania",119672251
214166,"Mount Aloysius College","7373 Admiral Peary Hwy, Cresson, Pennsylvania","Pennsylvania",89117149
214175,"Muhlenberg College","2400 Chew Street, Allentown, Pennsylvania","Pennsylvania",306747133
214272,"Neumann University","One Neumann Drive, Aston, Pennsylvania","Pennsylvania",37198235
214476,"Heritage Valley Health System School of Nursing","25 Heckel Rd, McKees Rocks, Pennsylvania","Pennsylvania",NA
214528,"Orleans Technical College","2770 Red Lion Road, Philadelphia, Pennsylvania","Pennsylvania",NA
214564,"Salus University","8360 Old York Rd, Elkins Park, Pennsylvania","Pennsylvania",48896140
214582,"Pennsylvania Institute of Technology","800 Manchester Ave, Media, Pennsylvania","Pennsylvania",108239
214777,"Pennsylvania State University-Main Campus","201 Old Main, University Park, Pennsylvania","Pennsylvania",6266954000
