"unitid","school_name","address","state","A01","H03A"
111045,"Haven University","12761 Euclid St., Garden Grove, California","California",712254,NA
111081,"California Institute of the Arts","24700 W McBean Pky, Valencia, California","California",214272680,655710
111391,"California Western School of Law","225 Cedar St, San Diego, California","California",21287371,232370
111638,"Casa Loma College-Los Angeles","15301 Ventura Blvd. Suite D-100, Sherman Oaks, California","California",0,NA
111708,"CET-San Diego","4153 Market Street, San Diego, California","California",NA,NA
111717,"CET-San Jose","701 Vine St, San Jose, California","California",NA,NA
111726,"CET-El Centro","294 S 3rd St, El Centro, California","California",NA,NA
111744,"CET-Colton","1099 N. Pepper Ave, Colton, California","California",NA,NA
111762,"CET-Watsonville","10 Blanca Lane, Watsonville, California","California",NA,NA
111799,"CET-Salinas","24 East Alvin Drive, Salinas, California","California",NA,NA
111948,"Chapman University","One University Dr., Orange, California","California",782187000,43030000
111966,"Charles R Drew University of Medicine and Science","1731 E 120th St, Los Angeles, California","California",187058000,340300
112075,"Concordia University-Irvine","1530 Concordia West, Irvine, California","California",54996299,9740207
112084,"San Diego Christian College","280 Riverview Parkway, Santee, California","California",345713,17257
112127,"Church Divinity School of the Pacific","2451 Ridge Road, Berkeley, California","California",33065818,55235
112251,"Claremont Graduate University","150 E Tenth St, Claremont, California","California",195535116,4503013
112260,"Claremont McKenna College","500 E 9th St, Claremont, California","California",2088561000,10350000
112525,"Western University of Health Sciences","309 E 2nd St, Pomona, California","California",68675264,1440582
112570,"California College of ASU","1111 S. Broadway Suite, Los Angeles, California","California",0,NA
113537,"Dell'Arte International School of Physical Theatre","131 H Street, Blue Lake, California","California",NA,NA
113698,"Dominican University of California","50 Acacia Ave, San Rafael, California","California",30090907,404411
113704,"Dominican School of Philosophy & Theology","2301 Vine Street, Berkeley, California","California",8751328,5000
114549,"Fielding Graduate University","2020 De La Vina St, Santa Barbara, California","California",18487595,1198688
114734,"Franciscan School of Theology","5998 Alcala Park, San Diego, California","California",8701775,55000
114813,"Fresno Pacific University","1717 S. Chestnut Ave, Fresno, California","California",35675365,190037
114840,"Fuller Theological Seminary","135 N Oakland Ave, Pasadena, California","California",100033000,5776000
114947,"Gemological Institute of America-Carlsbad","5345 Armada Dr, Carlsbad, California","California",NA,NA
115083,"Golden Gate University","536 Mission Street, San Francisco, California","California",42726553,34360
115214,"Graduate Theological Union","2400 Ridge Rd, Berkeley, California","California",52459938,246550
115409,"Harvey Mudd College","301 Platt Blvd., Claremont, California","California",455732109,3449180
115728,"Holy Names University","3500 Mountain Blvd, Oakland, California","California",57903967,433933
115773,"Humphreys University-Stockton and Modesto Campuses","6650 Inglewood Ave, Stockton, California","California",3516516,0
116846,"American Jewish University","15600 Mulholland Dr, Los Angeles, California","California",79392520,11532
117104,"Life Pacific University","1100 W. Covina Blvd., San Dimas, California","California",16557261,44756
117140,"University of La Verne","1950 Third St, La Verne, California","California",209141322,2833396
117168,"Laguna College of Art and Design","2222 Laguna Canyon Rd, Laguna Beach, California","California",1988253,197578
117283,"Latin American Bible Institute","14209 East Lomitas Avenue, La Puente, California","California",48533,0
117520,"Life Chiropractic College West","25001 Industrial Blvd, Hayward, California","California",0,NA
