"UNITID","school_name","coach_comp_third_2021","support_comp_third_2021","coach_comp_2021","guarantees_2021","total_ops_2021","aid_2021","support_comp_2021","severance_2021","recruiting_2021","teamtravel_2021","equip_2021","game_expenses_2021","marketing_2021","camps_2021","spirit_2021","facilities_rentals_2021","overhead_2021","indirect_institutional_2021","medical_2021","memberships_2021","meals_2021","otherops_2021","bowl_expense_2021","prof_def_2021","bowl_coachcomp_2021"
207500,"University of Oklahoma-Norman Campus","$0","$0","$32,631,978","$863,470","$143,193,408","$16,151,142","$17,497,188","$355,055","$633,688","$5,572,086","$5,386,385","$7,430,083","$1,967,160","$0","$164,369","$13,946,565","$28,446,959","$0","$5,480,803","$159,500","$1,519,235","$3,238,682","$1,397,188","$475,540","$351,872"
207388,"Oklahoma State University-Main Campus","$0","$0","$18,540,449","$409,163","$78,691,353","$7,684,774","$17,539,032","$48,072","$335,213","$4,042,508","$4,305,061","$2,203,546","$1,448,485","$302,693","$69,968","$3,215,142","$11,187,826","$0","$1,334,807","$349,187","$1,448,675","$3,537,034","$607,218","($14,192,693)","$82,500"
232982,"Old Dominion University","$0","$0","$7,670,676","$46,166","$38,234,460","$9,355,097","$6,368,495","$465,379","$121,071","$1,118,441","$1,501,463","$480,694","$315,257","$0","$33,854","$6,382,103","$1,640,381","$0","$384,224","$364,008","$164,239","$1,822,912","$0","$3,238,244","$0"
176017,"University of Mississippi","$0","$0","$21,537,187","$592,289","$109,763,195","$10,937,684","$18,340,020","$5,664,888","$339,608","$5,006,343","$4,383,741","$4,565,414","$2,951,379","$356,376","$417,028","$14,682,276","$10,830,897","$0","$4,632,115","$19,906","$1,348,180","$2,231,180","$733,087","$17,631,145","$193,597"
209551,"University of Oregon","$155,500","$32,950","$23,965,631","$250,495","$101,243,145","$14,527,932","$18,515,018","$0","$656,777","$4,107,087","$3,765,819","$1,221,897","$380,553","$10,156","$200,357","$18,098,517","$8,094,848","$0","$2,287,765","$35,794","$1,500,486","$2,482,220","$953,343","$16,278,672","$0"
209542,"Oregon State University","$0","$0","$15,599,718","$256,372","$68,585,989","$10,047,156","$11,749,006","$0","$1,104,642","$2,561,282","$4,190,848","$1,823,595","$1,268,919","$55,498","$7,556","$7,975,535","$890,385","$0","$1,549,017","$3,122,287","$1,299,216","$5,084,957","$0","($21,244,520)","$0"
214777,"Pennsylvania State University-Main Campus","$0","$0","$32,123,782","$92,000","$130,050,505","$21,290,346","$26,302,871","$427,930","$836,322","$5,326,206","$3,247,919","$2,357,060","$376,009","$0","$42,026","$13,790,982","$10,562,470","$0","$1,624,985","$75,452","$1,832,468","$9,651,993","$89,684","($23,890,987)","$0"
243780,"Purdue University-Main Campus","$184,383","$63,843","$18,432,096","$175,179","$82,282,743","$12,128,064","$16,982,597","$141,191","$296,506","$3,335,809","$1,744,883","$1,429,095","$417,261","$0","$47,104","$13,036,513","$7,197,897","$0","$1,257,190","$119,669","$2,390,140","$2,903,323","$0","($8,099,401)","$0"
186380,"Rutgers University-New Brunswick","$287,675","$76,835","$25,472,843","$225,000","$118,394,474","$17,376,340","$21,974,317","$2,485,921","$319,228","$6,136,833","$5,106,714","$1,651,107","$1,212,412","$0","$296,059","$13,022,780","$12,150,473","$0","$3,037,505","$115,258","$4,515,271","$2,931,903","$0","($30,402,172)","$0"
122409,"San Diego State University","$0","$0","$12,074,259","$102,365","$49,417,308","$8,655,462","$11,562,945","$115,446","$101,906","$2,551,522","$1,264,286","$265,821","$3,380,425","$2,035","$156,710","$3,482,453","$1,100,625","$2,147,761","$306,525","$398,800","$366,445","$1,381,517","$0","($493,568)","$0"
122755,"San Jose State University","$0","$0","$10,868,125","$55,000","$35,291,822","$7,885,272","$7,099,242","$0","$28,826","$2,380,330","$868,388","$718,388","$202,065","$0","$46,066","$883,014","$1,423","$978,117","$1,377,126","$24,217","$224,263","$1,394,797","$257,163","($2,787,048)","$0"
102094,"University of South Alabama","$0","$0","$7,475,500","$417,785","$35,094,465","$6,690,534","$4,628,042","$36,365","$424,100","$1,776,544","$1,503,571","$994,731","$183,472","$0","$282,375","$7,535,231","$404,099","$0","$891,048","$114,913","$285,447","$1,450,708","$0","($2,664,738)","$0"
218663,"University of South Carolina-Columbia","$3,078,750","$400,312","$21,295,848","$116,536","$130,364,709","$15,893,819","$24,952,707","$15,225,663","$372,977","$4,840,281","$3,584,383","$6,038,750","$616,318","$99,824","$154,549","$13,496,384","$11,254,866","$0","$3,731,914","$116,867","$961,386","$4,132,575","$0","$4,792,677","$0"
